ParentChannelCode,CrsID,ProjectNumber,Year,Aid_t,FlowName,DonorName,RecipientName,USD_Commitment_Defl,USD_Disbursement_Defl,SectorName,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,ChannelCode,relevance,principal,check,inclusion,employment,intellectual,education,family,advocacy,intellectual2,intellectual.subpurpose,channel,dpo,TopChannelCode,ParentChannelName
22000,2018004354-1,009-118342-A,2018,C01,ODA Grants,Spain,Uganda,0.0138497,0.0138497,III.1.a. Agriculture,Food crop production,AGRICULTURAL PROGRAM WITH SPECIAL ATTENTION TO PEOPLE WITH LIMITED CAPACITIES IN THE SUDANESE SOUTHERN REFUGEES OF BIDI BIDI,AGRICULTURAL PROGRAM WITH SPECIAL ATTENTION TO PEOPLE WITH LIMITED CAPACITIES IN THE SUDANESE SOUTHERN REFUGEES OF BIDI BIDI,"Título completo del proyecto: PROGRAMA AGRÍCOLA, CON ATENCIÓN ESPECIAL A LAS PERSONAS CON CAPACIDADES LIMITADAS, EN EL CAMPO DE REFUGIADOS SUD SUDANESES DE BIDI BIDI. :: El proyecto consiste en asegurar el alimento a las personas refugiadas que se asientan de manera definitiva en Uganda, que huyen de la situación que sufren  en su país en el Sur de Sudán, obligados a desplazarse caminando hasta la frontera con Uganda por las numerosas matanzas, violaciones, ataques y robos a la población y a sus propiedades y negocios a consecuencia de la guerra, unidos a la brutal escala de violencia que se vive en el país. El programa consiste en el reparto de semillas, árboles frutales y sesiones de formación agrícola para el buen desarrollo, mantenimiento y seguimiento de las plantaciones. De esta manera se logrará dotar de alimentos básicos a la población para paliar la malnutrición y generar un pequeño comercio que ayude a mejorar las condiciones económicas que sufren. Dada la limitada situación de las personas con necesidades especiales (ancianos, embarazadas y minusválidos, PSN) se propone una adaptación de este programa para aquellos que más lo necesitan, a fin de facilitar su acceso al mismo.Población beneficiaria: 580 Personas, las personas beneficiarias son refugiadas sur sudaneses que han huido de la guerra. Se encuentran en los asentamientos 6, 9 y 10 de la Zona 4. Según las estimaciones de Naciones Unidas, un 60% son niñosy niñas, 26% son mujeres y el 14% son varones.",Significant gender component,Principal disability component,Direct africa Foundation,Donor country-based NGO,22000,Principal,Yes,No,Not inclusion,employment,intellectual,Not education,Not family,Not advocacy,intellectual,Employment,Direct Africa Foundation,Other channel,20000,Donor country-based NGO
22000,2017000043,65-2016-H,2018,C01,ODA Grants,Estonia,Turkey,,0.0163112,VIII.1. Emergency Response,Material relief assistance and services,Providing psychosocial support to Syrian refugee children in Turkey,PROVIDING PSYCHOSOCIAL SUPPORT TO SYRIAN REFUGEE CHILDREN IN TURKEY,"The project concentrates on supporting Syrian refugee children with special needs (behavioural and learning problems, developmental disabilities) in the school system through providing psychosocial services to children and counselling for teachers in Turkey, Reyhanl? district. In addition, 2 specialists will be dispatched to Turkey to counsel and monitor the programme development. A seminar concentrating on these topics will be organized in Estonia in order to increase Estonian capacity to educate and support children from Middle Eastern countries.",Not screened,Not screened,NGO Estonian Refugee Council,Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,NGO Estonian Refugee Council,Other channel,20000,Donor country-based NGO
22000,2017003411-2,009-110231-B,2018,C01,ODA Grants,Spain,Lebanon,0,0.279355,VIII.1. Emergency Response,Material relief assistance and services,Improving the protection system of the displaced population of Syria with special needs and the host communities,IMPROVING THE PROTECTION SYSTEM OF THE DISPLACED POPULATION OF SYRIA WITH SPECIAL NEEDS AND THE HOST COMMUNITIES,"Millora del sistema de protecció adreçat a la població desplaçada de Síria amb necessitats especials a les comunitats d&#39;acollida, Barelias i Baalbek (Vall de la Beka&#39;a, Líban)",Significant gender component,No disability component,"MPDL - Movimiento por la Paz, el Desarme y la Libertad",Donor country-based NGO,22000,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,"MPDL - Movimiento Por La Paz, El Desarme Y La Libertad",Other channel,20000,Donor country-based NGO
22000,2018002018-1,009-115641-A,2018,H02,ODA Grants,Spain,Morocco,0.0391485,0.0391485,Refugees in Donor Countries,Refugees/asylum seekers  in donor countries (non-sector allocable),Improve the nutritional conditions of the Saharawis and transport in Special Education and Sensory Disability Centers,IMPROVE THE NUTRITIONAL CONDITIONS OF THE SAHARAWIS AND TRANSPORT IN SPECIAL EDUCATION AND SENSORY DISABILITY CENTERS,"El proyecto consiste en la mejora de la calidad de vida de los alumnos con necesidades especiales de los campamentos refugiados de Tindouf mediante el acceso a una comida diaria y al mismo tiempo, asegurar el transporte en los centros educativos.",No gender component,No disability component,Red Cross Spain,Donor country-based NGO,22000,Principal,Yes,No,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Red Cross Spain,Other channel,20000,Donor country-based NGO
22000,2017005626-1,009-113209-A,2018,C01,ODA Grants,Spain,Philippines,0,0,IX. Unallocated / Unspecified,Sectors not specified,HOLISTIC CARE FOR CHILDREN WITH DISABILITIES AT ELISE GACHES CENTER,HOLISTIC CARE FOR CHILDREN WITH DISABILITIES AT ELISE GACHES CENTER,"Título completo del proyecto: ATENCIÓN INTEGRAL PARA NIÑOS Y NIÑAS CON DISCAPACIDAD A TRAVÉS DEL CENTRO ELISE GACHES :: El objeto principal del proyecto consiste en garantizar el acceso a una educación especial de calidad, rehabilitación y servicios terapéuticos para 625 personas (190 niños/as) con distintos tipos de discapacidad procedentes de familias vulnerables, ofreciendo residencia anual; aulas adaptadas a cada necesidad y formación, talleres y terapia de calidad por parte de personal cualificado educador y de apoyo, en el único centro de educación especial y de rehabilitación integradora que existe hoy en día en Filipinas.",Significant gender component,No disability component,Juan Bonal Foundation,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,education,family,Not advocacy,intellectual,Mixed,Juan Bonal Foundation,Other channel,20000,Donor country-based NGO
22000,2018002574-1,009-116199-A,2018,C01,ODA Grants,Spain,Equatorial Guinea,0.0262485,0.0262485,IX. Unallocated / Unspecified,Sectors not specified,Promotion of access and quality of education for children with special educational needs and unschooled adults in Malabo,PROMOTION OF ACCESS AND QUALITY OF EDUCATION FOR CHILDREN WITH SPECIAL EDUCATIONAL NEEDS AND UNSCHOOLED ADULTS IN MALABO,"Título completo del proyecto: Promoción del acceso y calidad de educación para la infancia con necesidades educativas especiales y adultos desescolarizados en Malabo. :: mejorar la calidad de la educación y el acceso a infancia con necesidades educativas especiales (nee) y adultos desescolarizados a través de estas acciones: 1) establecer aulas de Educación Especial para alumnado con NEE en tres centros educativos; 2) formación permanente al profesorado de centros públicos y privados, para atender a este sector infantil; 3) sensibilizar y fomentar el conocimiento en las familias y en la población sobre educación de personas con NEE; 4) favorecer el acceso a una educación básica a personas adultas, especialmente mujeres, a través de un programa de alfabetización y construcción de la propia identidad.",Significant gender component,No disability component,Intered Foundation.,Donor country-based NGO,22000,Principal,Yes,No,Not inclusion,Not employment,intellectual,education,family,Not advocacy,intellectual,Mixed,Intered Foundation.,Other channel,20000,Donor country-based NGO
22000,2018005727-2,009-120472-B,2018,H01,ODA Grants,Spain,"Bilateral, unspecified",0.00670145,0.00670145,IX. Unallocated / Unspecified,Promotion of development awareness (non-sector allocable),The education A right of all,THE EDUCATION A RIGHT OF ALL,"Título completo del proyecto: La educación . Un derecho de todos. :: La EDUCACIÓN abordada desde múltiples aspectos. La educación como un derecho básico del ser humano, como una necesidad para promover la igualdad de oportunidades, tanto en nuestro entorno como en países en vías de desarrollo. Educación para el desarrollo, la educación en otros países, educación en valores, educación inclusiva (en España a día de hoy se siguen abriendo centros de educación especial en contra de las directrices internacionales), neuroeducación, modelos educativos alternativos, educación en igualdad, educación emocional, educación para la muerte, educación en familia y de los abuelos, educación para la espiritualidad, educación medioambiental.Se trabajará en el ámbito de la educación formal en colegios, institutos y universidad. En el ámbito de la educación no formal se realizarán actividades en AMPAs, otras asociaciones relacionadas con la educación, bibliotecas, empresas?En el ámbito de la educación informal las acciones están dirigidas a la población de Albacete en general, con la repercusión que consigamos en los medios de comunicación y a través de internet (página web, facebook, twitter).",Significant gender component,No disability component,Maná - Ayuda al Desarrollo,Donor country-based NGO,22000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,education,family,Not advocacy,intellectual,Mixed,Maná - Ayuda Al Desarrollo,Other channel,20000,Donor country-based NGO
22000,2018001661-1,009-115280-A,2018,H01,ODA Grants,Spain,"Bilateral, unspecified",0.0446763,0.0446763,IX. Unallocated / Unspecified,Promotion of development awareness (non-sector allocable),Gender Disability and rural areas improve the quality of life of people with intellectual disabilities in Latin America,GENDER DISABILITY AND RURAL AREAS IMPROVE THE QUALITY OF LIFE OF PEOPLE WITH INTELLECTUAL DISABILITIES IN LATIN AMERICA,"Objetivo general es mejorar la calidad de vida de las mujeres con discapacidad en el medio rural, promoviendo acciones de sensibilización a nivel iberoamericano a través del INIBEDI. El proyecto formará parte de una cultura de inclusión. Para ello se prevén dos pilares: Organización del IV Congreso y jornadas de sensibilización",Principal gender component,Principal disability component,FUNDACIÓN DE HERMANOS PARA LA IGUALDAD Y LA INCLUSIÓN SOCIAL,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,FUNDACIÓN DE HERMANOS PARA LA IGUALDAD Y LA INCLUSIÓN SOCIAL,Other channel,20000,Donor country-based NGO
22000,2018180127,25916449,2018,C01,ODA Grants,Finland,Mozambique,0.133338,0,IX. Unallocated / Unspecified,Promotion of development awareness (non-sector allocable),Todos Juntos - All Together,TODOS JUNTOS - ALL TOGETHER,The project will focus on young people between the age of 15 to 25. It will work in two locations one in a poor Maputo suburban neighbourhood and the other in Marracuene district of the Maputo Province. It will attend and involve youth both in and out of school and it aims to reach in total around 8000 beneficiaries (direct and indirect). The project is based on the principle that everyone has the right to participate in social and economic development. Young people's participation in development is an essential element in poverty reduction and reducing inequalities. The project aims at increasing equality among the youth at community level (outcome) and contributing to a more equal and inclusive society at national level (long term impact). To succeed in this the project will ensure that all young people in the project areas have same opportunities to access the project benefits; this means e.g. inclusion of youth with disabilities of different religions sex and language. Through the participation in project activities the youth will be empowered and more prepared to engage itself with the development of their communities. Part of the activities are focused on improving school attendance through explanation classes and advocacy work. The expected outcome for this is to reduce school dropout rates especially among girls and youth with special educational needs. In addition the project will capacitate adults to support young people's life skills and participation. This will be done by training teachers CSO workers and activitists as well as organizing awareness raising events in the project implementation areas.,Significant gender component,No disability component,Suomen lasten ja nuorten säätiö,Donor country-based NGO,22000,Significant,Yes,potential false positive,inclusion,employment,intellectual,education,Not family,advocacy,intellectual,Mixed,Suomen Lasten Ja Nuorten Säätiö,Other channel,20000,Donor country-based NGO
23000,2014000293008,SCR.CTR.397169,2018,C01,ODA Grants,EU Institutions,Azerbaijan,0,0.384834,"I.1.a. Education, Level Unspecified",Education policy and administrative management,Ensure Teachers Readiness for Inclusive Education,ENSURE TEACHERS READINESS FOR INCLUSIVE EDUCATION,"Overall Objective: Improve teaching capacity and management, pedagogical resources and policies for an inclusive education (IE, hereafter) system in Azerbaijan.   Specific Objectives:  (1)Develop and modernize teacher training curricula, textbooks, courses and educational materials    (2)Improve skills and knowledge of primary education teachers and other professions in support of children with special needs/disabilities   (3)Ensure resource availability for primary education teachers and oth",No gender component,Significant disability component,Developing country-based NGO,Developing country-based NGO,23000,Principal,Yes,No,inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2018609087,MOFA2018609087,2018,C01,ODA Grants,Japan,Côte d'Ivoire,0.119757,0.119757,"I.1.a. Education, Level Unspecified",Education facilities and training,Projet d'aménagement du Complexe Médico-psychopédagogique de prise en charge des enfants et jeunes adultes handicapés intellectuels à Bingerville,PROJET D'AMÉNAGEMENT DU COMPLEXE MÉDICO-PSYCHOPÉDAGOGIQUE DE PRISE EN CHARGE DES ENFANTS ET JEUNES ADULTES HANDICAPÉS INTELLECTUELS À BINGERVILLE,Le projet permettra d'une part d'accroître la capacité d'accueil en faveur des personnes handicapées intellectuelles et d'autre part de leurs garantir des conditions d'apprentissage décentes par la construction de 8 salles de classes et ainsi que l'achat d'équipement.,Significant gender component,No disability component,Developing country-based NGO,Developing country-based NGO,23000,Principal,Yes,No,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2018000338,n.a.,2018,D02,Private Development Finance,Oak Foundation,Zimbabwe,0.0542554,0.0542554,I.1.b. Basic Education,Primary education,J.F. Kapnek Trust,J.F. KAPNEK TRUST,"Programme: Zimbabwe. Sub-programme: Special Needs Education.  Description: To improve the education, health and nutritional status of 5,800 early childhood development students in Sanyati District. This grant will also support the renovation and refurbishment of classrooms at five primary schools in Zvimba District for the safety and optimal learning of an additional 200 children.. Total grant amount: USD 55.01 thousand.",No gender component,No disability component,J.F. Kapnek Trust,Developing country-based NGO,23000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,J.F. Kapnek Trust,Other channel,20000,Developing country-based NGO
23000,2016003220,7F-09569.01.01,2018,C01,ODA Grants,Switzerland,Lebanon,,0.246325,I.1.b. Basic Education,Basic life skills for youth and adults,Ghassan Kanafani Cultural Foundation (GKCF) Support to Centers in Palestine Refugee Camps – BNS & PRO,GHASSAN KANAFANI CULTURAL FOUNDATION (GKCF) SUPPORT TO CENTERS IN PALESTINE REFUGEE CAMPS – BNS & PRO,"Palestine Refugees have no access to public schools in Lebanon. UNRWA runs 69 schools and 2 vocational education centers that cannot meet all the needs of an increasingly young population. Non-profits play a key role in complementing UNRWA's services, particularly in early childhood. Further, many schools lack the necessary infrastructure, equipment and staff to support children with special needs. The main objective of the project is to improve the lives of Palestine Refugee (and other nationality) children and integrate those with disabilities in the regular education system.",Significant gender component,Significant disability component,"",Developing country-based NGO,23000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,"",Other channel,20000,Developing country-based NGO
23000,2018002827,939/2017,2018,B01,ODA Grants,Italy,Cambodia,0.152089,0.0506969,I.1.b. Basic Education,Basic life skills for youth and adults,GROWING Special Education School: attention and care for disadvantaged and vulnerable children with autism,GROWING SPECIAL EDUCATION SCHOOL: ATTENTION AND CARE FOR DISADVANTAGED AND VULNERABLE CHILDREN WITH AUTISM,GROWING Special Education School: attention and care for disadvantaged and vulnerable children with autism,No gender component,Not screened,Pastoral Centre of South Phnom Penh,Developing country-based NGO,23000,Principal,Yes,No,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Pastoral Centre Of South Phnom Penh,Other channel,20000,Developing country-based NGO
23000,2018000110,"",2018,C01,ODA Grants,Croatia,Bosnia and Herzegovina,0.00290613,0.00290613,I.1.b. Basic Education,Early childhood education,"Construction of a children's park in the local community of Kocerin. Build a Children's Park. To connect children with special needs together with mentally and physically healthy children who would hang out together, play, help in the children's park together with their parents.",CONSTRUCTION OF A CHILDREN'S PARK IN THE LOCAL COMMUNITY OF KOCERIN. BUILD A CHILDREN'S PARK. TO CONNECT CHILDREN WITH SPECIAL NEEDS TOGETHER WITH M,"Construction of a children's park in the local community of Kocerin. Build a Children's Park. To connect children with special needs together with mentally and physically healthy children who would hang out together, play, help in the children's park together with their parents.",Not screened,Not screened,"CREATUS Society for Culture, Education and Social Research",Developing country-based NGO,23000,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,family,Not advocacy,intellectual,Family,"CREATUS Society For Culture, Education And Social Research",Other channel,20000,Developing country-based NGO
23000,2018131132,131132,2018,C01,Private Development Finance,Ford Foundation,India,0.0391214,0.0391214,I.1.b. Basic Education,Early childhood education,Paramahansa Yogananda Society for Special Unfolding and Moulding,PARAMAHANSA YOGANANDA SOCIETY FOR SPECIAL UNFOLDING AND MOULDING,Programme: Beyond. Description: To strengthen holistic early intervention efforts for newborn to six-year-old children with intellectual disabilities in Uttar Pradesh in order to increase integration into mainstream schools.,No gender component,Principal disability component,Paramahansa Yogananda Society for Special Unfolding and Moulding,Developing country-based NGO,23000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Paramahansa Yogananda Society For Special Unfolding And Moulding,Other channel,20000,Developing country-based NGO
23000,2016000307004,SCR.CTR.382392,2018,C01,ODA Grants,EU Institutions,West Bank and Gaza Strip,0,0.713496,I.1.b. Basic Education,Early childhood education,Comprehensive school upgrading of Fifteen schools in Jerusalem,COMPREHENSIVE SCHOOL UPGRADING OF FIFTEEN SCHOOLS IN JERUSALEM,This project serves to support higher quality of education with advanced facilities and a friendlier environment. The program enhances the availability of better education services based on inclusive education with scientific research and technological utilization at its heart which raises schools' abilities to serve the different needs of student especially who have learning difficulties/disabilities. The action enhances schools to raise confident students aware of their role as belong,Significant gender component,Significant disability component,Developing country-based NGO,Developing country-based NGO,23000,Significant,Yes,potential false positive,inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2018008299,6611766,2018,C01,ODA Grants,Germany,Ukraine,0.00972715,0.00972715,"I.2.a. Health, General",Medical services,Equipment for rehabilitation centre for children with special needs,EQUIPMENT FOR REHABILITATION CENTRE FOR CHILDREN WITH SPECIAL NEEDS,"Improving therapeutic care, creating opportunities for physical activity and training for up to 300 disadvantaged children",No gender component,Not screened,Developing country-based NGO,Developing country-based NGO,23000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2018001690,1021/2017,2018,B01,ODA Grants,Italy,Argentina,0.0451004,0.0451004,I.2.b. Basic Health,Basic health infrastructure,Construction of the therapeutic rehabilitation center for children and adolescents,CONSTRUCTION OF THE THERAPEUTIC REHABILITATION CENTER FOR CHILDREN AND ADOLESCENTS,Construction of the therapeutic rehabilitation center for children and adolescents diagnosed with generalized developmental disorder and autism spectrum,No gender component,Not screened,Asociacion Civil Franco UZ,Developing country-based NGO,23000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Asociacion Civil Franco UZ,Other channel,20000,Developing country-based NGO
23000,2018067180,2018-67180,2018,C01,Private Development Finance,David & Lucile Packard Foundation,Ethiopia,0.195607,0.195607,I.3. Population Policies/Programmes & Reproductive Health,Reproductive health care,Nia Foundation,NIA FOUNDATION,Programme: Population and Reproductive Health. Description: to promote education and service delivery approaches that better meet the sexual and reproductive health needs of autistic youth in Ethiopia.,Principal gender component,Significant disability component,Nia Foundation,Developing country-based NGO,23000,Significant,Yes,potential false positive,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Nia Foundation,Other channel,20000,Developing country-based NGO
23000,2018006913-1,009-122616-A,2018,C01,ODA Grants,Spain,Ecuador,0.0670145,0.00685111,I.5.a. Government & Civil Society-general,Public sector policy and administrative management,2018 Ecuador Promotion of inclusive political institutions and disability,2018 ECUADOR PROMOTION OF INCLUSIVE POLITICAL INSTITUTIONS AND DISABILITY,"Subvención dineraria a Federación Ecuatoriana Pro Atención a la Persona con Discapacidad Intelectual, Autismo, Parálisis Cerebral y Síndrome de Down (FEPAPDEM) para proyecto para la promoción de instituciones y políticas públicas más inclusivas y transparentes en el marco de subvención UE Bridging the Gap.",No gender component,Principal disability component,FEPAPDEM,Developing country-based NGO,23000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,family,Not advocacy,intellectual,Family,FEPAPDEM,DPO,20000,Developing country-based NGO
23000,2015000059144,SCR.CTR.374155,2018,C01,ODA Grants,EU Institutions,Moldova,0,0.0406731,I.5.a. Government & Civil Society-general,Democratic participation and civil society,Advancing and monitoring the rights of people with mental disabilities in neuro-psychiatric residential institutions,ADVANCING AND MONITORING THE RIGHTS OF PEOPLE WITH MENTAL DISABILITIES IN NEURO-PSYCHIATRIC RESIDENTIAL INSTITUTIONS,The overall objective of this project is to empower persons in neuro-psychiatric residential institutions and local CSOs to defend and monitor the rights of persons with mental disabilities in Moldova,No gender component,Principal disability component,Developing country-based NGO,Developing country-based NGO,23000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,Not family,advocacy,intellectual,Self-advocacy,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2014000272256,SCR.CTR.372131,2018,C01,ODA Grants,EU Institutions,Moldova,0,0.0738804,I.5.a. Government & Civil Society-general,Democratic participation and civil society,Improving access to community-based early years and preschool support services for vulnerable children with special needs in Moldova,IMPROVING ACCESS TO COMMUNITY-BASED EARLY YEARS AND PRESCHOOL SUPPORT SERVICES FOR VULNERABLE CHILDREN WITH SPECIAL NEEDS IN MOLDOVA,The overall objective of this action is to improve access to community-based early years and preschool support services for vulnerable children with special needs in Moldova in accordance with the UN Convention on the Rights of the Child and UN Convention on the Rights of Persons with Disabilities. The action focuses on children with special needs and their families because the support services currently available in Moldova are inconsistent and do not address the full range of their needs.,No gender component,Significant disability component,Developing country-based NGO,Developing country-based NGO,23000,Principal,Yes,No,inclusion,Not employment,intellectual,education,family,advocacy,intellectual,Mixed,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2015000059134,SCR.CTR.374353,2018,C01,ODA Grants,EU Institutions,Serbia,0,0.016087,I.5.a. Government & Civil Society-general,Human rights,Self-advocates for fundamental rights of Persons with Intelectual Disabilities in Serbia,SELF-ADVOCATES FOR FUNDAMENTAL RIGHTS OF PERSONS WITH INTELECTUAL DISABILITIES IN SERBIA,"To contribute to respect of human rights of PwDs in Serbia, in accordance to UNCRPD and European Disability Strategy 2010-20.",Significant gender component,Principal disability component,Developing country-based NGO,Developing country-based NGO,23000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,Not family,advocacy,intellectual,Self-advocacy,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2015000059270,SCR.CTR.380196,2018,C01,ODA Grants,EU Institutions,Turkey,0,0.135896,I.5.a. Government & Civil Society-general,Human rights,Advocacy for People in the Penal System,ADVOCACY FOR PEOPLE IN THE PENAL SYSTEM,"Overall objective is to set up Advocacy for People in the Penal System (AAPS) as a support group consisting of different CSOs working on the rights for those people in need within the penal system, focusing on Prisoners with Special Needs, namely LGBTI, women, children, foreign, disabled prisoners, ethnic minority prisoners, prisoners with health problems, life imprisonment, working prisoners and student prisoners.",Significant gender component,Significant disability component,Developing country-based NGO,Developing country-based NGO,23000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,Not education,Not family,advocacy,intellectual,Self-advocacy,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2013000020387,SCR.CTR.351425,2018,C01,ODA Grants,EU Institutions,Turkey,0,0.0105655,I.5.a. Government & Civil Society-general,Human rights,A Classroom Full of Differences,A CLASSROOM FULL OF DIFFERENCES,The action aims at creating an inclusive education model in a pilot primary school to set example for the other schools and providing children with different mental disabilities with equal education opportunities.,Significant gender component,Principal disability component,Developing country-based NGO,Developing country-based NGO,23000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2013000020389,SCR.CTR.355075,2018,C01,ODA Grants,EU Institutions,Eritrea,0,0.0122319,I.5.a. Government & Civil Society-general,Human rights,"Scaling up efforts of the community sports club for Promoting the rights, and skills of Persons with Disability to respond to prejudice and discrimina","SCALING UP EFFORTS OF THE COMMUNITY SPORTS CLUB FOR PROMOTING THE RIGHTS, AND SKILLS OF PERSONS WITH DISABILITY TO RESPOND TO PREJUDICE AND DISCRIMINA","The main activities of the contract are: carry out public campaigns on the rights of person's with disability  organise bi-annual sports tournaments of person's with disability along with children and women tournaments  register and organise persons with disability into community sport clubs  undertake sport activities for persons with development disability at the St. Marry Psychiatric Hospital  give training of trainers on referring and organising sport, tournaments for persons with disability",Significant gender component,Principal disability component,Developing country-based NGO,Developing country-based NGO,23000,Principal,Yes,No,inclusion,employment,intellectual,Not education,Not family,advocacy,intellectual,Mixed,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2016000004259,SCR.CTR.394523,2018,C01,ODA Grants,EU Institutions,Eritrea,0,0.272769,I.5.a. Government & Civil Society-general,Human rights,Economic Empowerment of Families with Children Living with Intellectual and Developmental Disabilities,ECONOMIC EMPOWERMENT OF FAMILIES WITH CHILDREN LIVING WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITIES,"The project aims at contributing improving the quality of life of children who live with IDD and their families. The intervention will focus on: income generating activities for selected families, awareness and training for the families of children with IDD for improving the care and conditions of life of the kids and sensitisation actions on disabilities for the local communities.",Significant gender component,Principal disability component,Developing country-based NGO,Developing country-based NGO,23000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,family,advocacy,intellectual,Mixed,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2018010286,2018/WD/GEO02,2018,C01,ODA Grants,Poland,Georgia,0.0206014,0.0158575,I.5.a. Government & Civil Society-general,Human rights,Supporting a civil activism movement and advocacy campaign in Georgia about rights of people with mental & psychosocial disabilities,SUPPORTING A CIVIL ACTIVISM MOVEMENT AND ADVOCACY CAMPAIGN IN GEORGIA ABOUT RIGHTS OF PEOPLE WITH MENTAL & PSYCHOSOCIAL DISABILITIES,"The aim of this project was to enforce the advocacy and awareness raising campaign by providing substantial support for the Platform of different entities working with people with severe mental disorders and disabilities (PwMD) as well as by developing skills of media representatives, which motivate them to promote the rights of several vulnerable groups: PwMD, children & adolescents with mental health problems.",No gender component,No disability component,GIP – Global Initiative for Psychiatry -Tbilisi,Developing country-based NGO,23000,Principal,Yes,No,inclusion,employment,intellectual,Not education,Not family,advocacy,intellectual,Mixed,GIP – Global Initiative For Psychiatry -tbilisi,Other channel,20000,Developing country-based NGO
23000,2014000067206,SCR.CTR.369567,2018,C01,ODA Grants,EU Institutions,North Macedonia,0,0.00399954,I.5.a. Government & Civil Society-general,Human rights,TOGETHER,TOGETHER,To continue the self determination and self advocay programme for persons witn intellectual disabilities in FYRM  to create and sustain a self advocacy groups of persons with intellectual disabilities in Kumanovo.  to raise awareness about the self advocacy movement in the country.,Significant gender component,Principal disability component,Developing country-based NGO,Developing country-based NGO,23000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,Not education,Not family,advocacy,intellectual,Self-advocacy,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2017000043103,SCR.CTR.395005,2018,C01,ODA Grants,EU Institutions,Ukraine,0,0.0725361,I.5.a. Government & Civil Society-general,Human rights,"Ukrainian CSOs for Change: Promoting Human Rights, Deinstitutionalization and Social Inclusion of People, who have Intellectual and/or Psychosocial Di","UKRAINIAN CSOS FOR CHANGE: PROMOTING HUMAN RIGHTS, DEINSTITUTIONALIZATION AND SOCIAL INCLUSION OF PEOPLE, WHO HAVE INTELLECTUAL AND/OR PSYCHOSOCIAL DI","To strengthen the role of Ukrainian civil society, and empower it to promote non-discrimination and human rights, in this way contributing to inclusive socio-economic development in Ukraine (UA). To build capacity of UA civil society organizations (CSOs) nationwide, and especially in Donetskaya and Khmelnitskaya provinces, to actively advocate for social inclusion, deinstitutionalization (De-I), combat all forms of discrimination, promote human rights (HR) and equality for persons, who have inte",No gender component,Principal disability component,Developing country-based NGO,Developing country-based NGO,23000,Principal,No,No,inclusion,Not employment,intellectual,Not education,Not family,advocacy,intellectual,Self-advocacy,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
